contract_id,label,text
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Uncapped Liability,"Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or otherwise) arising in any Contract Year is limited to the greater of: (a) [ * ] Euros ([ * ] Euros); and (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms)."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Uncapped Liability,(c) breach of any implied condition as to title or quiet enjoyment; and (d) misuse of confidential information.
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Uncapped Liability,"Nothing in this Agreement shall exclude or limit either party's liability for: (a) death or personal injury resulting from the negligence of either party or their servants, agents or employees; (b) fraud or fraudulent misrepresentation;"
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Uncapped Liability,"Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this Agreement)."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Uncapped Liability,"Nothing in this Agreement shall exclude or limit either party's liability under Clause 10 (Indemnities), or Distributor's liability under Clause 2 (License Grants and Restrictions), Clause 3.5 (Exclusivity), Clause 3.6 (End User License Agreement) and Clause 3.7 (Accurate Reproduction) or Clause [ * ]."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Cap On Liability,"Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or otherwise) arising in any Contract Year is limited to the greater of: (a) [ * ] Euros ([ * ] Euros); and (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms)."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Cap On Liability,"Notwithstanding anything to the contrary, in no event shall the [ * ] paid or payable to Distributor by Google pursuant to Clause 4.1 (Payments) exceed the [ * ]."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Cap On Liability,"Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this Agreement)."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Cap On Liability,The foregoing Clauses 10.1 to 10.5 states the parties' entire liability and exclusive remedy with respect to infringement of a third party's Intellectual Property Rights.
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Warranty Duration,Google warrants that the Distribution Products will for a period of [ * ] from the date of their supply to Distributor be free from any defect which has a materially adverse effect on their use or operation.
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Parties,"The buyer/End-User: Shenzhen LOHAS Supply Chain Management Co., Ltd."
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Expiration Date,"The Contract is valid for 5 years, beginning from and ended on ."
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Governing Law,"It will be governed by the law of the People's Republic of China ,otherwise it is governed by United Nations Convention on Contract for the International Sale of Goods."
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Warranty Duration,"Within 7 days after the arrival of the goods at destination, should the quality, specification, or quantity be found not in conformity with the stipulations of the Contract except those claims for which the insurance company or the owners of the vessel are liable, the Buyers, on the strength of the Inspection Certificate issued by the China Commodity Inspection Bureau, have the right to claim for replacement with new goods, or for compensation, and all the expenses (such as inspection charges, freight for returning the goods and for sending the replacement, insurance premium, storage and loading and unloading charges etc.) shall be borne by the Sellers."
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Insurance,To be covered by the Seller for 110% invoice value against All Risks and War Risk.
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,Document Name,JOINT FILING AGREEMENT
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,Parties,Shelby J. Butterfield
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Document Name,ENDORSEMENT AGREEMENT
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Effective Date,The Term of this Agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of September 2004 and terminating the [*****] day of [*****].
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Expiration Date,The Term of this Agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of September 2004 and terminating the [*****] day of [*****].
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Governing Law,This Agreement shall be governed and construed according to the laws of the State of Kansas.
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Non-Compete,"When endorsing a non-competitive product, under no circumstances shall CONSULTANT wear, play, use, hold or in any way be associated with an ADAMS GOLF competitor's Product."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Exclusivity,"During the term of this Agreement, CONSULTANT shall exclusively play/use the MANDATORY PRODUCT."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Exclusivity,"CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Exclusivity,"During the term of this Agreement, unless otherwise authorized at the sole discretion of ADAMS GOLF in writing, CONSULTANT shall not: A.give the right to use or permit the use of CONSULTANT'S name, facsimile signature, nickname, voice or likeness to any other manufacturer or seller of PRODUCT; B.sponsor or endorse PRODUCT made or sold by any other manufacturer or seller; or C.serve as a CONSULTANT or advisor of any other manufacturer or seller of PRODUCT."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Competitive Restriction Exception,"Notwithstanding paragraphs 4A, 4B and 4C above, CONSULTANT shall be entitled to endorse and play the [*****]."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Competitive Restriction Exception,"Notwithstanding paragraphs 4A, 4B and 4C above, CONSULTANT shall not be required to wear ADAMS GOLF [*****] in [*****] ads."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Competitive Restriction Exception,The parties expressly agree that CONSULTANT may permit [*****] the use of CONSULTANT'S name and/or likeness in [*****] print and/or television advertisement provided that this is executed in a manner consistent with [*****] past [*****] advertising practice using similarly situated professional golfers with competing golf club endorsement agreements that include [*****].
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Competitive Restriction Exception,"(It is expressly understood by the parties that CONSULTANT may play [* ****] clubs in the bag other than ADAMS GOLF clubs including, but not limited to, a putter by a manufacturer other than ADAMS GOLF but may not endorse those clubs and/or putter.)"
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Anti-Assignment,"Neither ADAMS GOLF nor CONSULTANT shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Minimum Commitment,"In each and every calendar year of this Agreement, CONSULTANT shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the SPGA and/or PGA tour (which shall include both the PGA and SPGA Tour Skins Games)."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Minimum Commitment,"If for any reason, CONSULTANT should achieve a satisfactory record of play in less than [*****] SPGA and/or PGA tour events in a calendar year, he shall repay ADAMS GOLF an amount per event for each event under [*****] achieved in the given calendar year as follows: The agreed upon repayment amount per event per calendar year: 1. Year 1. $[*****] 2. Year 2 $[*****] 3. Year 3 $[*****] 4. Year 4 $[*****] 5. Year 5 $[*****]"
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Minimum Commitment,"""MANDATORY PRODUCTS"" shall mean the following ADAMS GOLF PRODUCTS that CONSULTANT must exclusively play/use in all Champions/Senior Professional Golf Association (SPGA) and Professional Golf Association (PGA) events at all times: [***** ] Confidential Material redacted and filed separately with the Commission. 2 1.[*****] 2.Sufficient [*****] to maintain total minimum of [*****] ADAMS GOLF [*****] (includes [*****])[*****] at all times"
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,Volume Restriction,"During the term of this Agreement, CONSULTANT shall make himself available on not more than [*****] days for television and radio commercials, photo shoots, modeling and promotional appearances compatible with CONSULTANT'S own practice, play and personal time requirements."
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,License Grant,"CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Document Name,CONSULTING AGREEMENT
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Effective Date,"This letter agreement will be effective as of July 1, 2018."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Expiration Date,This Agreement will commence on the Effective Date and will continue until termination as provided below.
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Governing Law,"This Agreement shall be governed by the laws of the State of Texas, without reference to its conflicts of law principles."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Non-Compete,"Without limiting the foregoing, Consultant agrees to use his or her best efforts (A) to segregate Consultant's"
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Non-Compete,"Consultant hereby certifies that Consultant has no outstanding agreement or obligation that is in conflict with any of the provisions of this Agreement, or that would preclude Consultant from complying with the provisions hereof, and further certifies that Consultant will not enter into any such conflicting agreement during the term of this Agreement."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Non-Compete,"Subject to written waivers that may be provided by the Company upon request, which shall not be unreasonably withheld, Consultant agrees that, during the term of this Agreement, Consultant will not directly or indirectly (i) participate in the formation of any business or commercial entity in the Field of Interest or otherwise competitive with the Company."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Non-Compete,"Services performed under this Agreement from Consultant's work done for any other companies for whom Consultant is providing services so as to minimize any questions of disclosure of, or rights under, any inventions, (B) to notify the Company if at any time the Consultant believes that such questions may result from his or her performance under this Agreement and (C) to assist the Company in fairly resolving any questions in this regard which may arise."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Termination For Convenience,Either Consultant or Company may terminate this Agreement upon prior written notice thereof to the other party.
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Anti-Assignment,Neither this Agreement nor any right hereunder or interest herein may be assigned or transferred by Consultant without the express written consent of Company.
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Anti-Assignment,Consultant shall not subcontract any portion of Consultant's duties under this Agreement without the prior written consent of Company.
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Volume Restriction,"The Company will compensate Consultant at the rate of $400 per hour (19 hours cap monthly; anything over these hrs must be preapproved by management), payable in accordance with the Company's standard payroll schedule, and subject to withholding as legally required."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Ip Ownership Assignment,"Consultant hereby irrevocably assigns to Company all right, title and interest in and to any information (including, without limitation, business plans and/or business information), technology, know-how, materials, notes, records, designs, ideas, inventions, improvements, devices, developments, discoveries, compositions, trade secrets, processes, methods and/or techniques, whether or not patentable or copyrightable, that are conceived, reduced to practice or made by Consultant alone or jointly with others in the course of performing the Services or through the use of Confidential Information (collectively, 111nventions"")."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Ip Ownership Assignment,to execute and file any such applications and to do all other lawfully permitted acts to further the prosecution and issuance of such intellectual property rights thereon with the same legal force and effect as if executed by Consultant.
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Ip Ownership Assignment,"Consultant agrees to sign, execute and acknowledge or cause to be signed, executed and acknowledged without cost, but at the expense of Company, any and all documents and to perform such acts as my be necessary, useful or convenient for the purposes of perfecting the foregoing assignments and obtaining, enforcing and defending intellectual property rights in any and all countries with respect to Inventions."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Ip Ownership Assignment,"Consultant agrees that if Company is unable because of Consultant's unavailability, mental or physical incapacity, or for any other reason, to secure Consultant's signature to apply for or to pursue any application or registration for any intellectual property rights covering any Invention, then Consultant hereby irrevocably designates and appoints Company and its duly authorized officers and agents as Consultant's agent and attorney-in-fact, to act for and in Consultant's behalf"
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",License Grant,"Consultant agrees that if, in the course of performing the Services, Consultant incorporates into any Invention developed hereunder any invention, improvement, development concept, discovery or other proprietary subject matter owned by Consultant or in which Consultant has an interest (""Item""), Consultant will inform Company in writing thereof, and Company is hereby granted and shall have a non-exclusive, royalty-free, perpetual, irrevocable, worldwide license to make, have made, modify, reproduce, display, use and sell such Item as part of or in connection with the exploitation of such Invention."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Irrevocable Or Perpetual License,"Consultant agrees that if, in the course of performing the Services, Consultant incorporates into any Invention developed hereunder any invention, improvement, development concept, discovery or other proprietary subject matter owned by Consultant or in which Consultant has an interest (""Item""), Consultant will inform Company in writing thereof, and Company is hereby granted and shall have a non-exclusive, royalty-free, perpetual, irrevocable, worldwide license to make, have made, modify, reproduce, display, use and sell such Item as part of or in connection with the exploitation of such Invention."
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Post-Termination Services,"Upon the termination of this Agreement, or upon Company's earlier requests, Consultant will deliver to Company all property relating to, and all tangible embodiments of, Inventions in Consultant's possession or control."
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Document Name,AMENDMENT AND TERMINATION OF JOINT VENTURE AGREEMENT
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"Nissin Kogyo Co., Ltd."
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"""NBZ"" and together with Nissin and Nissin Holding, the ""Nissin Parties"""
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,Nissin Kogyo Holdings
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"""Veoneer US"" and together with Veoneer AB, the ""Veoneer Parties"""
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"Zhongshan Nissin Industry Co., Ltd."
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Effective Date,"This Amendment shall only become effective upon the VNBJ Closing with respect to Article 1.1 and the VNBZ Closing with respect to Article 1.2, and shall terminate without any force or effect in the event that the VNBJ SPA and the VNBZ SPA are terminated in accordance with the terms thereof."
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Expiration Date,"This Amendment shall only become effective upon the VNBJ Closing with respect to Article 1.1 and the VNBZ Closing with respect to Article 1.2, and shall terminate without any force or effect in the event that the VNBJ SPA and the VNBZ SPA are terminated in accordance with the terms thereof."
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Governing Law,This Amendment shall be governed by and construed in accordance with the laws of Japan.
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Document Name,CO-PROMOTION AGREEMENT
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Parties,"Dova Pharmaceuticals, Inc."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Parties,"Dova and Valeant are each referred to individually as a ""Party"" and together as the ""Parties""."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Parties,Valeant Pharmaceuticals North America LLC
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Effective Date,"""Effective Date"" shall have the meaning set forth in the preamble to this Agreement."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Expiration Date,"This Agreement shall become effective as of the Effective Date and, unless earlier terminated as provided in this ARTICLE 12, shall extend until the four (4) year anniversary of the Effective Date (the ""Term"")."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Governing Law,"This Agreement and any and all matters arising directly or indirectly herefrom shall be governed by and construed and enforced in accordance with the internal laws of the [***] applicable to agreements made and to be performed entirely in such state, including its statutes of limitation but without giving effect to the conflict of law principles thereof."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Non-Compete,"[***], neither Valeant nor its Affiliates shall, directly or indirectly, [***] in the Territory other than the Product; provided that if the Agreement is terminated by Dova pursuant to [***], then any Tail Period shall be immediately terminated if either Valeant or any of its Affiliates, directly or indirectly, [***] in the Territory other than the Product during such Tail Period."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Exclusivity,"During the Term, subject to the terms and conditions of this Agreement, Dova hereby grants to Valeant the right, on a co-exclusive basis (solely with Dova and its Affiliates), to Detail and promote the Product in the Specialty in the Territory in the Field, and to conduct the Valeant Activities and the activities of the institutional account management team (pursuant to and subject to the terms of Section 4.1.5) for the Product in the Territory in the Field in accordance with the terms and conditions of this Agreement."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Competitive Restriction Exception,"Notwithstanding anything to the contrary, in no event shall the restrictions set forth in this Section 2.3.2 apply to [***]."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Competitive Restriction Exception,"Notwithstanding the foregoing, this Section 2.3.1(a) shall not apply to any products marketed, promoted, detailed, offered for sale, or sold by any business (or any portion thereof), other Person, or group of Persons, [***]."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,No-Solicit Of Employees,"[***], neither Valeant nor Dova (nor any of their respective Affiliates) shall directly or indirectly solicit for hire or employee as an employee, consultant or otherwise any of the other Party's professional personnel who have had direct involvement with the JSC, with the Valeant Activities under this Agreement (which, in the case of Valeant, includes the Field Force Personnel) or with Dova's commercialization activities for the Product, without the other Party's prior written consent."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Termination For Convenience,Either Party shall have the right to terminate this Agreement before the end of the Term for its convenience upon [***] written notice to the other Party (and any such termination shall become effective at the end of such [***]); [***].
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Change Of Control,"Notwithstanding the foregoing, (a) either Party may, without the other Party's consent, assign this Agreement and its rights and obligations hereunder in whole or in part to an Affiliate; and (b) Dova may assign this Agreement to a successor in interest in connection with the sale or other transfer of all or substantially all of Dova's assets or rights relating to the Product; provided that such assignee shall remain subject to all of the terms and conditions hereof in all respects and shall assume all obligations of Dova hereunder whether accruing before or after such assignment."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Anti-Assignment,"In the event either Party desires to make such an assignment or other transfer of this Agreement or any rights or obligations hereunder, such Party shall deliver a written notice to the other Party requesting the other Party's written consent in accordance with this Section 13.2, and the other Party shall provide such Party written notice of its determination whether to provide such written consent within [***] following its receipt of such written notice from such Party."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Anti-Assignment,"Except as provided in this Section 13.2, this Agreement may not be assigned or otherwise transferred, nor may any rights or obligations hereunder be assigned or transferred, by either Party, without the written consent of the other Party (such consent not to be unreasonably withheld); provided that a merger, sale of stock or comparable transaction shall not constitute an assignment."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Anti-Assignment,"Except to Affiliates of Valeant, Valeant shall not subcontract the Valeant Activities with any Third Party (including any contract sales force)."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Anti-Assignment,Any attempted assignment not in accordance with this Section 13.2 shall be void.
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Revenue/Profit Sharing,"Commencing with the Calendar Quarter commencing on October 1, 2018, as consideration for the Valeant Activities performed by Valeant, Dova shall pay Valeant a promotion fee based on annual Net Sales during the Term, calculated as follows: (a) For any portion of Net Sales up to and equal [***] in a Calendar Year, an amount equal to [***] of such portion of Net Sales; (b) For any portion of Net Sales in excess of [***] and up to and equal [***] in a Calendar Year, an amount equal to [***] of such portion of Net Sales; and (c) For any portion of Net Sales in excess of [***] in a Calendar Year, [***] of such portion of Net Sales."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Revenue/Profit Sharing,"If the aggregate actual number of Details for the Product made by the Sales Representatives for a Calendar Quarter is less than the Quarterly Minimum Details for such Calendar Quarter, then in calculating the promotion fee due under Section 6.1.1, the Applicable Percentage for such Calendar Quarter shall be reduced to a new percentage equal to [***]."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Revenue/Profit Sharing,"If the Quarterly Average Sales Force Size is less than [***] Sales Representatives for an applicable Calendar Quarter, then in calculating the promotion fee due under Section 6.1.1, the Applicable Percentage for such Calendar Quarter shall be reduced to a new percentage equal to [***]."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Minimum Commitment,"If the aggregate actual number of Details for the Product made by the Sales Representatives for a Calendar Quarter is less than the Quarterly Minimum Details for such Calendar Quarter, then in calculating the promotion fee due under Section 6.1.1, the Applicable Percentage for such Calendar Quarter shall be reduced to a new percentage equal to [***]."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Minimum Commitment,A Party shall have the right to terminate this Agreement before the end of the Term as follows:
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,Minimum Commitment,"Without limiting the generality of the foregoing, [***]) and continuing throughout the remainder of the Term, Valeant shall maintain at least one hundred (100) Sales Representatives with responsibility to Detail the Product in the Specialty in the Territory."
