contract_id,text,text_norm,label,source,subset
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to the terms and conditions of this Agreement, Google grants to Distributor a [* ] license during the Term to: (a) bundle the Distribution Products, in machine-readable binary code format only, solely with Distributor App(s); (b) distribute Bundles directly (or indirectly, subject to Clause 2.2 (Third Party Distribution)) to End Users in the Territory; (c) when indicated by the applicable Criteria Checker and requested by the End User in accordance with clause 3.2 (Form of Distribution Offering), install the Chrome Browser or the Google Toolbar (as applicable) on the End User's system using the Google Installers; and (d) reproduce (or have reproduced by Third Party Distributors as defined in Clause 2.2 (Third Party Distribution)), the Distribution Products to the extent necessary to exercise the rights granted in (a), (b) and (c).",subject to the terms and conditions of this agreement google grants to distributor a license during the term to a bundle the distribution products in machine readable binary code format only solely with distributor app s b distribute bundles directly or indirectly subject to clause 2 2 third party distribution to end users in the territory c when indicated by the applicable criteria checker and requested by the end user in accordance with clause 3 2 form of distribution offering install the chrome browser or the google toolbar as applicable on the end user s system using the google installers and d reproduce or have reproduced by third party distributors as defined in clause 2 2 third party distribution the distribution products to the extent necessary to exercise the rights granted in a b and c,License Grant,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","During the Term, and for a period of [ * ] thereafter, Google may audit Distributor's relevant records to confirm Distributor's compliance with this Agreement.",during the term and for a period of thereafter google may audit distributor s relevant records to confirm distributor s compliance with this agreement,Audit Rights,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or otherwise) arising in any Contract Year is limited to the greater of: (a) [ * ] Euros ([ * ] Euros); and (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms).",subject to clauses 9 1 and 9 2 each party s total liability under or in connection with this agreement whether in contract tort or otherwise arising in any contract year is limited to the greater of a euros euros and b of the total payment due to the distributor in the relevant contract year pursuant to clause 4 payment terms,Uncapped Liability,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",(c) breach of any implied condition as to title or quiet enjoyment; and (d) misuse of confidential information.,c breach of any implied condition as to title or quiet enjoyment and d misuse of confidential information,Uncapped Liability,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Nothing in this Agreement shall exclude or limit either party's liability for: (a) death or personal injury resulting from the negligence of either party or their servants, agents or employees; (b) fraud or fraudulent misrepresentation;",nothing in this agreement shall exclude or limit either party s liability for a death or personal injury resulting from the negligence of either party or their servants agents or employees b fraud or fraudulent misrepresentation,Uncapped Liability,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this Agreement).",subject to clauses 9 1 and 9 2 neither party shall be liable under this agreement whether in contract tort or otherwise for any a loss of anticipated savings b loss of business opportunity which for the avoidance of doubt shall not include loss of advertising revenue c loss of or corruption of data d loss or damage resulting from third party claims or e indirect or consequential losses suffered or incurred by the other party whether or not such losses were within the contemplation of the parties at the date of this agreement,Uncapped Liability,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Nothing in this Agreement shall exclude or limit either party's liability under Clause 10 (Indemnities), or Distributor's liability under Clause 2 (License Grants and Restrictions), Clause 3.5 (Exclusivity), Clause 3.6 (End User License Agreement) and Clause 3.7 (Accurate Reproduction) or Clause [ * ].",nothing in this agreement shall exclude or limit either party s liability under clause 10 indemnities or distributor s liability under clause 2 license grants and restrictions clause 3 5 exclusivity clause 3 6 end user license agreement and clause 3 7 accurate reproduction or clause,Uncapped Liability,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Notwithstanding anything to the contrary, in no event shall the [ * ] paid or payable to Distributor by Google pursuant to Clause 4.1 (Payments) exceed the [ * ].",notwithstanding anything to the contrary in no event shall the paid or payable to distributor by google pursuant to clause 4 1 payments exceed the,Cap On Liability,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",The foregoing Clauses 10.1 to 10.5 states the parties' entire liability and exclusive remedy with respect to infringement of a third party's Intellectual Property Rights.,the foregoing clauses 10 1 to 10 5 states the parties entire liability and exclusive remedy with respect to infringement of a third party s intellectual property rights,Cap On Liability,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Google warrants that the Distribution Products will for a period of [ * ] from the date of their supply to Distributor be free from any defect which has a materially adverse effect on their use or operation.,google warrants that the distribution products will for a period of from the date of their supply to distributor be free from any defect which has a materially adverse effect on their use or operation,Warranty Duration,CUAD_train_contracts,cuad_train
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"The buyer/End-User: Shenzhen LOHAS Supply Chain Management Co., Ltd.",the buyer end user shenzhen lohas supply chain management co ltd,Parties,CUAD_train_contracts,cuad_train
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"The Contract is valid for 5 years, beginning from and ended on .",the contract is valid for 5 years beginning from and ended on,Expiration Date,CUAD_train_contracts,cuad_train
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"It will be governed by the law of the People's Republic of China ,otherwise it is governed by United Nations Convention on Contract for the International Sale of Goods.",it will be governed by the law of the people s republic of china otherwise it is governed by united nations convention on contract for the international sale of goods,Governing Law,CUAD_train_contracts,cuad_train
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"Within 7 days after the arrival of the goods at destination, should the quality, specification, or quantity be found not in conformity with the stipulations of the Contract except those claims for which the insurance company or the owners of the vessel are liable, the Buyers, on the strength of the Inspection Certificate issued by the China Commodity Inspection Bureau, have the right to claim for replacement with new goods, or for compensation, and all the expenses (such as inspection charges, freight for returning the goods and for sending the replacement, insurance premium, storage and loading and unloading charges etc.) shall be borne by the Sellers.",within 7 days after the arrival of the goods at destination should the quality specification or quantity be found not in conformity with the stipulations of the contract except those claims for which the insurance company or the owners of the vessel are liable the buyers on the strength of the inspection certificate issued by the china commodity inspection bureau have the right to claim for replacement with new goods or for compensation and all the expenses such as inspection charges freight for returning the goods and for sending the replacement insurance premium storage and loading and unloading charges etc shall be borne by the sellers,Warranty Duration,CUAD_train_contracts,cuad_train
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,To be covered by the Seller for 110% invoice value against All Risks and War Risk.,to be covered by the seller for 110 invoice value against all risks and war risk,Insurance,CUAD_train_contracts,cuad_train
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,JOINT FILING AGREEMENT,joint filing agreement,Document Name,CUAD_train_contracts,cuad_train
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,Shelby J. Butterfield,shelby j butterfield,Parties,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,ENDORSEMENT AGREEMENT,endorsement agreement,Document Name,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,The Term of this Agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of September 2004 and terminating the [*****] day of [*****].,the term of this agreement shall be for a period of years and months commencing the 1st day of september 2004 and terminating the day of,Effective Date,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,This Agreement shall be governed and construed according to the laws of the State of Kansas.,this agreement shall be governed and construed according to the laws of the state of kansas,Governing Law,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"When endorsing a non-competitive product, under no circumstances shall CONSULTANT wear, play, use, hold or in any way be associated with an ADAMS GOLF competitor's Product.",when endorsing a non competitive product under no circumstances shall consultant wear play use hold or in any way be associated with an adams golf competitor s product,Non-Compete,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"During the term of this Agreement, CONSULTANT shall exclusively play/use the MANDATORY PRODUCT.",during the term of this agreement consultant shall exclusively play use the mandatory product,Exclusivity,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY.",consultant hereby gives and grants to adams golf the exclusive right and license to use consultant s endorsement in connection with the manufacture sale distribution advertising and promotion of product in the contract territory,Exclusivity,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"During the term of this Agreement, unless otherwise authorized at the sole discretion of ADAMS GOLF in writing, CONSULTANT shall not: A.give the right to use or permit the use of CONSULTANT'S name, facsimile signature, nickname, voice or likeness to any other manufacturer or seller of PRODUCT; B.sponsor or endorse PRODUCT made or sold by any other manufacturer or seller; or C.serve as a CONSULTANT or advisor of any other manufacturer or seller of PRODUCT.",during the term of this agreement unless otherwise authorized at the sole discretion of adams golf in writing consultant shall not a give the right to use or permit the use of consultant s name facsimile signature nickname voice or likeness to any other manufacturer or seller of product b sponsor or endorse product made or sold by any other manufacturer or seller or c serve as a consultant or advisor of any other manufacturer or seller of product,Exclusivity,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Notwithstanding paragraphs 4A, 4B and 4C above, CONSULTANT shall be entitled to endorse and play the [*****].",notwithstanding paragraphs 4a 4b and 4c above consultant shall be entitled to endorse and play the,Competitive Restriction Exception,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Notwithstanding paragraphs 4A, 4B and 4C above, CONSULTANT shall not be required to wear ADAMS GOLF [*****] in [*****] ads.",notwithstanding paragraphs 4a 4b and 4c above consultant shall not be required to wear adams golf in ads,Competitive Restriction Exception,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,The parties expressly agree that CONSULTANT may permit [*****] the use of CONSULTANT'S name and/or likeness in [*****] print and/or television advertisement provided that this is executed in a manner consistent with [*****] past [*****] advertising practice using similarly situated professional golfers with competing golf club endorsement agreements that include [*****].,the parties expressly agree that consultant may permit the use of consultant s name and or likeness in print and or television advertisement provided that this is executed in a manner consistent with past advertising practice using similarly situated professional golfers with competing golf club endorsement agreements that include,Competitive Restriction Exception,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"(It is expressly understood by the parties that CONSULTANT may play [* ****] clubs in the bag other than ADAMS GOLF clubs including, but not limited to, a putter by a manufacturer other than ADAMS GOLF but may not endorse those clubs and/or putter.)",it is expressly understood by the parties that consultant may play clubs in the bag other than adams golf clubs including but not limited to a putter by a manufacturer other than adams golf but may not endorse those clubs and or putter,Competitive Restriction Exception,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Neither ADAMS GOLF nor CONSULTANT shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder.",neither adams golf nor consultant shall have the right to grant sublicenses hereunder or to assign alienate or otherwise transfer any of its rights or obligations hereunder,Anti-Assignment,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"In each and every calendar year of this Agreement, CONSULTANT shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the SPGA and/or PGA tour (which shall include both the PGA and SPGA Tour Skins Games).",in each and every calendar year of this agreement consultant shall achieve a satisfactory record of play in a minimum of professional golf association events on the spga and or pga tour which shall include both the pga and spga tour skins games,Minimum Commitment,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"If for any reason, CONSULTANT should achieve a satisfactory record of play in less than [*****] SPGA and/or PGA tour events in a calendar year, he shall repay ADAMS GOLF an amount per event for each event under [*****] achieved in the given calendar year as follows: The agreed upon repayment amount per event per calendar year: 1. Year 1. $[*****] 2. Year 2 $[*****] 3. Year 3 $[*****] 4. Year 4 $[*****] 5. Year 5 $[*****]",if for any reason consultant should achieve a satisfactory record of play in less than spga and or pga tour events in a calendar year he shall repay adams golf an amount per event for each event under achieved in the given calendar year as follows the agreed upon repayment amount per event per calendar year 1 year 1 2 year 2 3 year 3 4 year 4 5 year 5,Minimum Commitment,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"""MANDATORY PRODUCTS"" shall mean the following ADAMS GOLF PRODUCTS that CONSULTANT must exclusively play/use in all Champions/Senior Professional Golf Association (SPGA) and Professional Golf Association (PGA) events at all times: [***** ] Confidential Material redacted and filed separately with the Commission. 2 1.[*****] 2.Sufficient [*****] to maintain total minimum of [*****] ADAMS GOLF [*****] (includes [*****])[*****] at all times",mandatory products shall mean the following adams golf products that consultant must exclusively play use in all champions senior professional golf association spga and professional golf association pga events at all times confidential material redacted and filed separately with the commission 2 1 2 sufficient to maintain total minimum of adams golf includes at all times,Minimum Commitment,CUAD_train_contracts,cuad_train
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"During the term of this Agreement, CONSULTANT shall make himself available on not more than [*****] days for television and radio commercials, photo shoots, modeling and promotional appearances compatible with CONSULTANT'S own practice, play and personal time requirements.",during the term of this agreement consultant shall make himself available on not more than days for television and radio commercials photo shoots modeling and promotional appearances compatible with consultant s own practice play and personal time requirements,Volume Restriction,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",CONSULTING AGREEMENT,consulting agreement,Document Name,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","This letter agreement will be effective as of July 1, 2018.",this letter agreement will be effective as of july 1 2018,Effective Date,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",This Agreement will commence on the Effective Date and will continue until termination as provided below.,this agreement will commence on the effective date and will continue until termination as provided below,Expiration Date,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","This Agreement shall be governed by the laws of the State of Texas, without reference to its conflicts of law principles.",this agreement shall be governed by the laws of the state of texas without reference to its conflicts of law principles,Governing Law,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Without limiting the foregoing, Consultant agrees to use his or her best efforts (A) to segregate Consultant's",without limiting the foregoing consultant agrees to use his or her best efforts a to segregate consultant s,Non-Compete,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Consultant hereby certifies that Consultant has no outstanding agreement or obligation that is in conflict with any of the provisions of this Agreement, or that would preclude Consultant from complying with the provisions hereof, and further certifies that Consultant will not enter into any such conflicting agreement during the term of this Agreement.",consultant hereby certifies that consultant has no outstanding agreement or obligation that is in conflict with any of the provisions of this agreement or that would preclude consultant from complying with the provisions hereof and further certifies that consultant will not enter into any such conflicting agreement during the term of this agreement,Non-Compete,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Subject to written waivers that may be provided by the Company upon request, which shall not be unreasonably withheld, Consultant agrees that, during the term of this Agreement, Consultant will not directly or indirectly (i) participate in the formation of any business or commercial entity in the Field of Interest or otherwise competitive with the Company.",subject to written waivers that may be provided by the company upon request which shall not be unreasonably withheld consultant agrees that during the term of this agreement consultant will not directly or indirectly i participate in the formation of any business or commercial entity in the field of interest or otherwise competitive with the company,Non-Compete,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Services performed under this Agreement from Consultant's work done for any other companies for whom Consultant is providing services so as to minimize any questions of disclosure of, or rights under, any inventions, (B) to notify the Company if at any time the Consultant believes that such questions may result from his or her performance under this Agreement and (C) to assist the Company in fairly resolving any questions in this regard which may arise.",services performed under this agreement from consultant s work done for any other companies for whom consultant is providing services so as to minimize any questions of disclosure of or rights under any inventions b to notify the company if at any time the consultant believes that such questions may result from his or her performance under this agreement and c to assist the company in fairly resolving any questions in this regard which may arise,Non-Compete,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Either Consultant or Company may terminate this Agreement upon prior written notice thereof to the other party.,either consultant or company may terminate this agreement upon prior written notice thereof to the other party,Termination For Convenience,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Neither this Agreement nor any right hereunder or interest herein may be assigned or transferred by Consultant without the express written consent of Company.,neither this agreement nor any right hereunder or interest herein may be assigned or transferred by consultant without the express written consent of company,Anti-Assignment,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",Consultant shall not subcontract any portion of Consultant's duties under this Agreement without the prior written consent of Company.,consultant shall not subcontract any portion of consultant s duties under this agreement without the prior written consent of company,Anti-Assignment,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","The Company will compensate Consultant at the rate of $400 per hour (19 hours cap monthly; anything over these hrs must be preapproved by management), payable in accordance with the Company's standard payroll schedule, and subject to withholding as legally required.",the company will compensate consultant at the rate of 400 per hour 19 hours cap monthly anything over these hrs must be preapproved by management payable in accordance with the company s standard payroll schedule and subject to withholding as legally required,Volume Restriction,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Consultant hereby irrevocably assigns to Company all right, title and interest in and to any information (including, without limitation, business plans and/or business information), technology, know-how, materials, notes, records, designs, ideas, inventions, improvements, devices, developments, discoveries, compositions, trade secrets, processes, methods and/or techniques, whether or not patentable or copyrightable, that are conceived, reduced to practice or made by Consultant alone or jointly with others in the course of performing the Services or through the use of Confidential Information (collectively, 111nventions"").",consultant hereby irrevocably assigns to company all right title and interest in and to any information including without limitation business plans and or business information technology know how materials notes records designs ideas inventions improvements devices developments discoveries compositions trade secrets processes methods and or techniques whether or not patentable or copyrightable that are conceived reduced to practice or made by consultant alone or jointly with others in the course of performing the services or through the use of confidential information collectively 111nventions,Ip Ownership Assignment,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",to execute and file any such applications and to do all other lawfully permitted acts to further the prosecution and issuance of such intellectual property rights thereon with the same legal force and effect as if executed by Consultant.,to execute and file any such applications and to do all other lawfully permitted acts to further the prosecution and issuance of such intellectual property rights thereon with the same legal force and effect as if executed by consultant,Ip Ownership Assignment,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Consultant agrees to sign, execute and acknowledge or cause to be signed, executed and acknowledged without cost, but at the expense of Company, any and all documents and to perform such acts as my be necessary, useful or convenient for the purposes of perfecting the foregoing assignments and obtaining, enforcing and defending intellectual property rights in any and all countries with respect to Inventions.",consultant agrees to sign execute and acknowledge or cause to be signed executed and acknowledged without cost but at the expense of company any and all documents and to perform such acts as my be necessary useful or convenient for the purposes of perfecting the foregoing assignments and obtaining enforcing and defending intellectual property rights in any and all countries with respect to inventions,Ip Ownership Assignment,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Consultant agrees that if Company is unable because of Consultant's unavailability, mental or physical incapacity, or for any other reason, to secure Consultant's signature to apply for or to pursue any application or registration for any intellectual property rights covering any Invention, then Consultant hereby irrevocably designates and appoints Company and its duly authorized officers and agents as Consultant's agent and attorney-in-fact, to act for and in Consultant's behalf",consultant agrees that if company is unable because of consultant s unavailability mental or physical incapacity or for any other reason to secure consultant s signature to apply for or to pursue any application or registration for any intellectual property rights covering any invention then consultant hereby irrevocably designates and appoints company and its duly authorized officers and agents as consultant s agent and attorney in fact to act for and in consultant s behalf,Ip Ownership Assignment,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Consultant agrees that if, in the course of performing the Services, Consultant incorporates into any Invention developed hereunder any invention, improvement, development concept, discovery or other proprietary subject matter owned by Consultant or in which Consultant has an interest (""Item""), Consultant will inform Company in writing thereof, and Company is hereby granted and shall have a non-exclusive, royalty-free, perpetual, irrevocable, worldwide license to make, have made, modify, reproduce, display, use and sell such Item as part of or in connection with the exploitation of such Invention.",consultant agrees that if in the course of performing the services consultant incorporates into any invention developed hereunder any invention improvement development concept discovery or other proprietary subject matter owned by consultant or in which consultant has an interest item consultant will inform company in writing thereof and company is hereby granted and shall have a non exclusive royalty free perpetual irrevocable worldwide license to make have made modify reproduce display use and sell such item as part of or in connection with the exploitation of such invention,License Grant,CUAD_train_contracts,cuad_train
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Upon the termination of this Agreement, or upon Company's earlier requests, Consultant will deliver to Company all property relating to, and all tangible embodiments of, Inventions in Consultant's possession or control.",upon the termination of this agreement or upon company s earlier requests consultant will deliver to company all property relating to and all tangible embodiments of inventions in consultant s possession or control,Post-Termination Services,CUAD_train_contracts,cuad_train
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",AMENDMENT AND TERMINATION OF JOINT VENTURE AGREEMENT,amendment and termination of joint venture agreement,Document Name,CUAD_train_contracts,cuad_train
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","Nissin Kogyo Co., Ltd.",nissin kogyo co ltd,Parties,CUAD_train_contracts,cuad_train
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","""NBZ"" and together with Nissin and Nissin Holding, the ""Nissin Parties""",nbz and together with nissin and nissin holding the nissin parties,Parties,CUAD_train_contracts,cuad_train
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Nissin Kogyo Holdings,nissin kogyo holdings,Parties,CUAD_train_contracts,cuad_train
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","""Veoneer US"" and together with Veoneer AB, the ""Veoneer Parties""",veoneer us and together with veoneer ab the veoneer parties,Parties,CUAD_train_contracts,cuad_train
