contract_id,text,text_norm,label
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","Bruyette & Woods, Inc.",bruyette woods inc,Parties
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,"- -------------------------------------------------------------------------------------------------------------------- Requirement - -------------------------------------------------------------------------------------------------------------------- Characteristic Bellcore EIA/TIA-464A D2 - -------------------------------------------------------------------------------------------------------------------- Frequency Deviation +/-1.5% must accept; +/-1.5% must accept; Configurable choice of +/-3.5% must reject +/-3.5% must reject four sets of must accept/must reject: +/-2.0% accept to +/-3.0% reject; +/-2.5% accept to +/-3.5% reject; +/-3.0% accept to +/-4.0% reject; +/-3.5% accept to +/-4.5% reject. - -------------------------------------------------------------------------------------------------------------------- Minimum Tone 40 ms must accept; 23 40 ms must accept Configurable from 24 Duration ms must reject to 80 ms - -------------------------------------------------------------------------------------------------------------------- Minimum Interdigital 40 ms 40 ms Configurable from 24 Interval to 80 ms - -------------------------------------------------------------------------------------------------------------------- Minimum Cycle Time 93 ms 93 ms Configurable from 48 to 160 ms - -------------------------------------------------------------------------------------------------------------------- Accept Levels 0 to -36 dBm must 0 to -25 dBm must 0 dBm to configurable accept, -55 dBm must accept minimum (-25 to -45 reject dBm range)",requirement characteristic bellcore eia tia 464a d2 frequency deviation 1 5 must accept 1 5 must accept configurable choice of 3 5 must reject 3 5 must reject four sets of must accept must reject 2 0 accept to 3 0 reject 2 5 accept to 3 5 reject 3 0 accept to 4 0 reject 3 5 accept to 4 5 reject minimum tone 40 ms must accept 23 40 ms must accept configurable from 24 duration ms must reject to 80 ms minimum interdigital 40 ms 40 ms configurable from 24 interval to 80 ms minimum cycle time 93 ms 93 ms configurable from 48 to 160 ms accept levels 0 to 36 dbm must 0 to 25 dbm must 0 dbm to configurable accept 55 dbm must accept minimum 25 to 45 reject dbm range,Minimum Commitment
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT","Neither Party may assign or otherwise transfer any of its rights, or delegate or otherwise transfer any of its obligations or performance, under this Agreement, in each case whether voluntarily or involuntarily, without the other Party's prior written consent, which will not be unreasonably withheld, conditioned, or delayed.",neither party may assign or otherwise transfer any of its rights or delegate or otherwise transfer any of its obligations or performance under this agreement in each case whether voluntarily or involuntarily without the other party s prior written consent which will not be unreasonably withheld conditioned or delayed,Anti-Assignment
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,"In addition, XIMAGE will provide the following as additional Customer Support Services:",in addition ximage will provide the following as additional customer support services,Ip Ownership Assignment
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,No later than 30 days after the end of each contract year the Base Fee must be increased or decreased in accordance with the increase or decrease in the CPI and such increases or decreases will be calculated by using the following formula:,no later than 30 days after the end of each contract year the base fee must be increased or decreased in accordance with the increase or decrease in the cpi and such increases or decreases will be calculated by using the following formula,Price Restrictions
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT","Each of Vivint Solar and Vivint may also be referred to herein individually as a ""Party"", and collectively as the ""Parties"".",each of vivint solar and vivint may also be referred to herein individually as a party and collectively as the parties,Parties
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,"Notwithstanding the above, Intuit may include editorial content or tools about or from a Client Competitor and include Client Competitors in directory listings.",notwithstanding the above intuit may include editorial content or tools about or from a client competitor and include client competitors in directory listings,Competitive Restriction Exception
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,Restore System Images at no additional charge up to two (2) times per month per Managed Server per Customer.,restore system images at no additional charge up to two 2 times per month per managed server per customer,Volume Restriction
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","A Success Fee of 0.85% shall be paid based on the aggregate purchase price of the Shares sold in the Subscription Offering and the Community Offering excluding shares purchased by the Blue Hills Parties' officers, directors, trustees or employees (or members of their immediate family) plus any ESOP, tax-qualified or stock based compensation plans or similar plan created by the Blue Hills Parties for some or all of their directors or employees or by the foundation (or any shares contributed to the foundation).",a success fee of 0 85 shall be paid based on the aggregate purchase price of the shares sold in the subscription offering and the community offering excluding shares purchased by the blue hills parties officers directors trustees or employees or members of their immediate family plus any esop tax qualified or stock based compensation plans or similar plan created by the blue hills parties for some or all of their directors or employees or by the foundation or any shares contributed to the foundation,Revenue/Profit Sharing
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,PB will notify SFJ in writing promptly (and in any event within [***]) following the entering into of a definitive agreement with respect to a Change of Control of PB.,pb will notify sfj in writing promptly and in any event within following the entering into of a definitive agreement with respect to a change of control of pb,Change Of Control
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,"Fox shall own all Intellectual Property Rights in and to any derivative works made from the Properties, whether or not used in the Wireless Products, including without limitation design documents, graphics, animation, music, packaging, advertising, promotional and other artwork used in connection with the development and distribution of the Wireless Products but at all times excluding the Licensee Materials as defined in Paragraph 11(c) below (collectively, the ""Fox Intellectual Property"").",fox shall own all intellectual property rights in and to any derivative works made from the properties whether or not used in the wireless products including without limitation design documents graphics animation music packaging advertising promotional and other artwork used in connection with the development and distribution of the wireless products but at all times excluding the licensee materials as defined in paragraph 11 c below collectively the fox intellectual property,Ip Ownership Assignment
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,"We grant to you, upon the terms and conditions contained in this Agreement, the exclusive right to establish and operate a Franchised Business and a license to use the methods, procedures and products developed by us in the business of selling and servicing Unit Franchises in the territory described on Attachment A attached to this Agreement and incorporated into this Agreement by reference (the ""Master Territory"").",we grant to you upon the terms and conditions contained in this agreement the exclusive right to establish and operate a franchised business and a license to use the methods procedures and products developed by us in the business of selling and servicing unit franchises in the territory described on attachment a attached to this agreement and incorporated into this agreement by reference the master territory,License Grant
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER.,other party in an amount greater than the amount boxlot actually pays to theglobe hereunder,Cap On Liability
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"assignees of (which may in certain circumstances be Purchaser, any of the entities comprising Purchaser, any of their respective affiliates, and/or a new entity created by any of the foregoing), any or all of the Assets free and clear of all liens, claims, and encumbrances thereon, without further order of the Bankruptcy Court (the ""Asset Designation Rights"").",assignees of which may in certain circumstances be purchaser any of the entities comprising purchaser any of their respective affiliates and or a new entity created by any of the foregoing any or all of the assets free and clear of all liens claims and encumbrances thereon without further order of the bankruptcy court the asset designation rights,Exclusivity
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,"For the Term of this Agreement, Fox hereby grants to Licensee a right of first negotiation with respect to those theatrical motion pictures released during the Term of this Agreement (in addition to the Properties identified in Exhibit A) in which (i) Fox owns or controls licensing and merchandising rights, for which Fox determines in its sole discretion to grant to any third party any licensing rights for the development and distribution of wireless products, and (ii) which theatrical motion pictures Fox reasonably deems to be a Major Release consistent with its past practices.",for the term of this agreement fox hereby grants to licensee a right of first negotiation with respect to those theatrical motion pictures released during the term of this agreement in addition to the properties identified in exhibit a in which i fox owns or controls licensing and merchandising rights for which fox determines in its sole discretion to grant to any third party any licensing rights for the development and distribution of wireless products and ii which theatrical motion pictures fox reasonably deems to be a major release consistent with its past practices,Rofr/Rofo/Rofn
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,"If such Power Performance Warranty calculation indicates that the Actual kWh of the Bloom Systems was less than the Minimum kWh during such Power Performance Warranty Period, then Operator shall so notify Owner in writing of the basis of its determination and Owner may make a claim under Section 2.5.",if such power performance warranty calculation indicates that the actual kwh of the bloom systems was less than the minimum kwh during such power performance warranty period then operator shall so notify owner in writing of the basis of its determination and owner may make a claim under section 2 5,Minimum Commitment
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"This Agreement, and your rights and obligations under it, are and shall remain personal to you.",this agreement and your rights and obligations under it are and shall remain personal to you,Anti-Assignment
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,"If you do not meet the Minimum Development Quota, we may cancel your exclusive right to market and sell Unit Franchises in your Master Territory and may sell additional Master Franchises within your Master Territory, or we may begin operations of our own in your Master Territory, or we may terminate this Agreement.",if you do not meet the minimum development quota we may cancel your exclusive right to market and sell unit franchises in your master territory and may sell additional master franchises within your master territory or we may begin operations of our own in your master territory or we may terminate this agreement,Minimum Commitment
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"You agree to deliver to us prior to opening and periodically at any time upon our request, proper certificate evidencing the existence of the insurance coverage which names us as a named insured.",you agree to deliver to us prior to opening and periodically at any time upon our request proper certificate evidencing the existence of the insurance coverage which names us as a named insured,Insurance
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT","The limitations in Section 23.1(b) will not apply to (a) losses arising out of or relating to a Party's breach of its obligations in Section 8 (excluding Section 8.4(g)) or Sections 1.1, 1.2, 1.4, 1.6 or 6.1 of the Restated Developer Agreement, (b) losses arising out of a Party's breach of Section 19 or the Business Associate Agreement; (c) a Party's indemnification obligations under Sections 22.1(b) through 22.1(e) or Sections 22.3(b) through 22.3(e); (d) losses arising from a Party's gross negligence or more culpable conduct, including any willful misconduct or intentionally wrongful acts; (e) losses for death, bodily injury, or damage to real or tangible personal property arising out of or relating to a Party's negligent or more culpable acts or omissions; or (f) a Party's obligation to pay attorneys' fees and other costs pursuant to Section 28.9(e).",the limitations in section 23 1 b will not apply to a losses arising out of or relating to a party s breach of its obligations in section 8 excluding section 8 4 g or sections 1 1 1 2 1 4 1 6 or 6 1 of the restated developer agreement b losses arising out of a party s breach of section 19 or the business associate agreement c a party s indemnification obligations under sections 22 1 b through 22 1 e or sections 22 3 b through 22 3 e d losses arising from a party s gross negligence or more culpable conduct including any willful misconduct or intentionally wrongful acts e losses for death bodily injury or damage to real or tangible personal property arising out of or relating to a party s negligent or more culpable acts or omissions or f a party s obligation to pay attorneys fees and other costs pursuant to section 28 9 e,Uncapped Liability
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,"IBM grants Customer a nonexclusive, nontransferable, revocable license to access and use the Base Components solely in connection with the Services as provided under this Agreement.",ibm grants customer a nonexclusive nontransferable revocable license to access and use the base components solely in connection with the services as provided under this agreement,License Grant
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,"""PARTY"" shall mean each of T&L and Igene",party shall mean each of t l and igene,Parties
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement","Bosch International, LLC / XLI Technologies, Inc.",bosch international llc xli technologies inc,Parties
MSCIINC_02_28_2008-EX-10.10-,"Notwithstanding the provisions of Section 5(a) and (b), none of the members of the MS Provider Group and the MSCI Provider Group shall be liable for any special, indirect, incidental, consequential or punitive damages of any kind whatsoever in any way due to, resulting from or arising in connection with the performance of or failure to perform MS's or MSCI's obligations under this Agreement.",notwithstanding the provisions of section 5 a and b none of the members of the ms provider group and the msci provider group shall be liable for any special indirect incidental consequential or punitive damages of any kind whatsoever in any way due to resulting from or arising in connection with the performance of or failure to perform ms s or msci s obligations under this agreement,Cap On Liability
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,"The Developer shall not develop, maintain or market a similar platform and will not compete with the Client directly or indirectly worldwide.",the developer shall not develop maintain or market a similar platform and will not compete with the client directly or indirectly worldwide,Non-Compete
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT,SAP Africa further warrants that SAP AG will from time to time (as soon as the relevant RELEASE and/or VERSION has been finalised) deposit into the escrow account copies of all new versions of the Source Code and related DOCUMENTATION encompassing any and all copies of all versions of the Source Code and related DOCUMENTATION encompassing any and all CORRECTION LEVELS.,sap africa further warrants that sap ag will from time to time as soon as the relevant release and or version has been finalised deposit into the escrow account copies of all new versions of the source code and related documentation encompassing any and all copies of all versions of the source code and related documentation encompassing any and all correction levels,Source Code Escrow
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,EVENT SPONSORSHIP AGREEMENT,event sponsorship agreement,Document Name
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,"The initial term of this Agreement shall commence on the Effective Date and end on the five (5) year anniversary of the Effective Date (the ""Initial Term""), unless sooner terminated pursuant to the terms hereo",the initial term of this agreement shall commence on the effective date and end on the five 5 year anniversary of the effective date the initial term unless sooner terminated pursuant to the terms hereo,Expiration Date
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",This Agreement and any amendments thereto shall be construed according to the laws of the State of Colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in Colorado.,this agreement and any amendments thereto shall be construed according to the laws of the state of colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in colorado,Governing Law
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,"NCB appoints NPC, and NPC agrees to serve, as NCB's sole agent (i) to provide authorization, processing and settlement services with respect to Visa and MasterCard transactions (""Merchant Processing Services"") to merchants who desire to receive Merchant Processing Services from NCB or NPC (""Merchants"") and (ii) to enter into contracts with merchants (""Merchant Contracts"") for the provision of Merchant Processing Services as agent of NCB; provided, however, that nothing herein shall limit NPC's right to provide, as agent for other members of Visa and MasterCard, Merchant Processing Services to merchants who desire to receive such services from NCB or others.",ncb appoints npc and npc agrees to serve as ncb s sole agent i to provide authorization processing and settlement services with respect to visa and mastercard transactions merchant processing services to merchants who desire to receive merchant processing services from ncb or npc merchants and ii to enter into contracts with merchants merchant contracts for the provision of merchant processing services as agent of ncb provided however that nothing herein shall limit npc s right to provide as agent for other members of visa and mastercard merchant processing services to merchants who desire to receive such services from ncb or others,Exclusivity
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT,"To the extent that Contractor incorporates any of Contractor's Information into the Works, Contractor hereby grants to Company a royalty-free, non- exclusive perpetual license (including the right to grant a sublicense) to use, copy, modify, create, derivative version, publicly perform and publicly display such Contractor's Information in connection with Company's business operations.",to the extent that contractor incorporates any of contractor s information into the works contractor hereby grants to company a royalty free non exclusive perpetual license including the right to grant a sublicense to use copy modify create derivative version publicly perform and publicly display such contractor s information in connection with company s business operations,Irrevocable Or Perpetual License
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,"Gulf Houghton Lubricants Ltd.,",gulf houghton lubricants ltd,Parties
MSCIINC_02_28_2008-EX-10.10-,"MS hereby grants (subject to any existing third party contractual obligations) to MSCI a non-exclusive, perpetual, irrevocable, world- wide, royalty-free license for MSCI to use, modify, copy, create derivative works of and sublicense, for any business purpose, the MS Licensed Materials.",ms hereby grants subject to any existing third party contractual obligations to msci a non exclusive perpetual irrevocable world wide royalty free license for msci to use modify copy create derivative works of and sublicense for any business purpose the ms licensed materials,License Grant
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,Customer specifically agrees to maintain insurance coverage for any finished Products or materials which passes to Customer pursuant to this Agreement and which is stored on the premises of Contractor.,customer specifically agrees to maintain insurance coverage for any finished products or materials which passes to customer pursuant to this agreement and which is stored on the premises of contractor,Insurance
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","RemainCo, for itself and as representative of all other members of the RemainCo Group, hereby grants to SpinCo (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the RemainCo Know-How currently or previously used in connection with the SpinCo Business or otherwise in the possession of SpinCo or any member of the SpinCo Group as of the Distribution Date (the ""Licensed RemainCo Know-How""), for the continued operation of the SpinCo Business and any future extensions of the SpinCo Business in the SpinCo Core Field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the Licensed RemainCo Know-How for the continued operation of the SpinCo Business and any future extensions of the SpinCo Business in any field other than the RemainCo Core Field or the SpinCo Core Field; provided, however, the foregoing licenses shall not extend to (i) RemainCo Know-How licensed by RemainCo or any other member of the RemainCo Group if and to the extent the licensing of same to SpinCo would constitute a breach of an agreement with any Third Party executed prior to the Effective Date or result in any expense to RemainCo or any member of the RemainCo Group for payments to such Third Party or (ii) any intellectual property not owned by one or more members of the RemainCo Group, or as to which no member of the RemainCo Group has the right to grant sublicenses, as of the Effective Date.",remainco for itself and as representative of all other members of the remainco group hereby grants to spinco x a perpetual irrevocable exclusive royalty free worldwide right and license with the right to grant sublicenses solely as set forth in section 5 6 to use the remainco know how currently or previously used in connection with the spinco business or otherwise in the possession of spinco or any member of the spinco group as of the distribution date the licensed remainco know how for the continued operation of the spinco business and any future extensions of the spinco business in the spinco core field and y a perpetual irrevocable non exclusive royalty free worldwide right and license with the right to grant sublicenses solely as set forth in section 5 6 to use the licensed remainco know how for the continued operation of the spinco business and any future extensions of the spinco business in any field other than the remainco core field or the spinco core field provided however the foregoing licenses shall not extend to i remainco know how licensed by remainco or any other member of the remainco group if and to the extent the licensing of same to spinco would constitute a breach of an agreement with any third party executed prior to the effective date or result in any expense to remainco or any member of the remainco group for payments to such third party or ii any intellectual property not owned by one or more members of the remainco group or as to which no member of the remainco group has the right to grant sublicenses as of the effective date,Exclusivity
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT",Termination for Convenience. [***].,termination for convenience,Termination For Convenience
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT,"Subject to, and without prejudice to the provisions of this clause 11. 1 and clause 10, SAP AFRICA'S liability for any loss or damages of whatever nature or however arising, that may be suffered by TELKOM or AFFILIATE from USE or license of the SOFTWARE and irrespective of the number of occurrences giving rise to such liability, shall be limited to the aggregate of all License Fees paid by TELKOM to SAP AFRICA in terms of this AGREEMENT, up until the date when such damages are determined or agreed.",subject to and without prejudice to the provisions of this clause 11 1 and clause 10 sap africa s liability for any loss or damages of whatever nature or however arising that may be suffered by telkom or affiliate from use or license of the software and irrespective of the number of occurrences giving rise to such liability shall be limited to the aggregate of all license fees paid by telkom to sap africa in terms of this agreement up until the date when such damages are determined or agreed,Cap On Liability
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,"Distributor will not purchase Products for resale to any Reseller from any person or entity other than Cisco, provided that Distributor may accept returned Product from Resellers if Distributor initially sold the Product to be returned to such Reseller. [*****]",distributor will not purchase products for resale to any reseller from any person or entity other than cisco provided that distributor may accept returned product from resellers if distributor initially sold the product to be returned to such reseller,Exclusivity
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,"If Hydraspin desires to enter a new territory in the United States, Hydraspin will offer Distributor the first opportunity to become the exclusive distributor for the new territory.",if hydraspin desires to enter a new territory in the united states hydraspin will offer distributor the first opportunity to become the exclusive distributor for the new territory,Rofr/Rofo/Rofn
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",The Company agrees to feature not less than two (2) persons designated by Cano as guests on not less than six (6) separate episodes per year.,the company agrees to feature not less than two 2 persons designated by cano as guests on not less than six 6 separate episodes per year,Minimum Commitment
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,You shall not engage in catering and delivery services and activities outside of the Designated Area.,you shall not engage in catering and delivery services and activities outside of the designated area,Non-Compete
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"Effective as of the Initial Closing Date, the Seller hereby grants (and will cause each other Seller Party to grant, following each applicable Closing Date, to the Purchaser Licensees) a perpetual (unless terminated in accordance with Section 4.2(ii)(c)), fully paid-up, royalty-free, worldwide, non-transferable (except as set forth herein), non-exclusive license to use any and all Licensed Trademarks in the Business (including with respect to the Purchaser Licensed Activities), including with respect to all Derivative Works and natural evolutions of such Business, in a manner that is the same or substantially similar to the manner in which the Seller Entities have used the Licensed Trademarks in the Business.",effective as of the initial closing date the seller hereby grants and will cause each other seller party to grant following each applicable closing date to the purchaser licensees a perpetual unless terminated in accordance with section 4 2 ii c fully paid up royalty free worldwide non transferable except as set forth herein non exclusive license to use any and all licensed trademarks in the business including with respect to the purchaser licensed activities including with respect to all derivative works and natural evolutions of such business in a manner that is the same or substantially similar to the manner in which the seller entities have used the licensed trademarks in the business,Non-Transferable License
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT,"""TERRITORY"" means, for the purposes of USING the SOFTWARE, all countries in. AFRICA;",territory means for the purposes of using the software all countries in africa,License Grant
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages. i-on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees.",i on will not be liable under any circumstances for any lost profits or other consequential damages even if i on has been advised as to the possibility of such damages i on s liability for damages to the customer for any cause whatsoever regardless of the form of action and whether in contract or in tort including negligence shall be limited to one 1 month s fees and the remaining portion of any prepaid fees,Cap On Liability
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,Any such inspection will be conducted in a manner that does not unreasonably interfere with i-Escrow's business activities and with no less than fifteen (15) days notice.,any such inspection will be conducted in a manner that does not unreasonably interfere with i escrow s business activities and with no less than fifteen 15 days notice,Audit Rights
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"We will have the right to observe the manner in which you are rendering your services and conducting your operations, to confer with your employees and customers, and to select Menu Items, ingredients, food and",we will have the right to observe the manner in which you are rendering your services and conducting your operations to confer with your employees and customers and to select menu items ingredients food and,Audit Rights
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,This Agreement shall automatically renew for consecutive one (1) year terms at XIMAGE's then prevailing rates at the end of each one (1) year term unless either party gives at least sixty (60) days prior written notice of the non-renewal of this Agreement.,this agreement shall automatically renew for consecutive one 1 year terms at ximage s then prevailing rates at the end of each one 1 year term unless either party gives at least sixty 60 days prior written notice of the non renewal of this agreement,Notice Period To Terminate Renewal
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,"In the event that Network terminates this Agreement as to a particular Station or several Stations, or in its entirety pursuant to Sections 10(a) or (c), Affiliate shall, within thirty (30) days of termination, at its option either reimburse Network for the cost of all equipment or return such equipment related to such Station(s) that was paid for by Network pursuant to Section 5(b) herein.",in the event that network terminates this agreement as to a particular station or several stations or in its entirety pursuant to sections 10 a or c affiliate shall within thirty 30 days of termination at its option either reimburse network for the cost of all equipment or return such equipment related to such station s that was paid for by network pursuant to section 5 b herein,Post-Termination Services
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,DISTRIBUTOR AGREEMENT,distributor agreement,Document Name
