query_id,query_contract_id,query_label,query_text,method,top1_label,top1_score,top1_text,top1_contract_id,top1_source
5,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Revenue/Profit Sharing,A commission rate of 12% will be paid for both new and renewal physicians liability business.,BM25_leakage_controlled,Revenue/Profit Sharing,19.709727312713834,"4.2.2 the term ""Commission"" will mean the total fees paid in cash to us, by insurance carriers as a percentage of the Premiums generated by insurance policies sold by the Franchised Business, on all new and renewal policies.","GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement",CUAD_train_contracts
5,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Revenue/Profit Sharing,A commission rate of 12% will be paid for both new and renewal physicians liability business.,SBERT_leakage_controlled,Minimum Commitment,0.5804212093353271,"The Royalty Fee will be the following amounts: (a) the greater of (i) twenty percent (20%) of Gross Revenues on insurance policies in their initial term, or (ii) the Minimum Royalty (defined below); and (b) fifty percent (50%) of Gross Revenues on policies in their renewal terms and policies written for existing customers on the same risk profile within a one-year period of the cancellation of their existing policy (also known as ""re-writes"").","GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement",CUAD_train_contracts
6,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,Document Name,EXCLUSIVE DISTRIBUTOR AGREEMENT,BM25_leakage_controlled,Exclusivity,11.454428139247398,The Distributor is appointed as an exclusive Distributor within the following territories: [*].,LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,CUAD_train_contracts
6,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,Document Name,EXCLUSIVE DISTRIBUTOR AGREEMENT,SBERT_leakage_controlled,Document Name,0.9479936957359314,NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement,CUAD_train_contracts
7,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",Parties,"GSI Technology, Inc.",BM25_leakage_controlled,Parties,16.28249671909083,"Tripath Technology, Inc.","ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT",CUAD_train_contracts
7,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",Parties,"GSI Technology, Inc.",SBERT_leakage_controlled,Parties,0.678482711315155,MTI TECHNOLOGY CORPORATION,MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum,CUAD_train_contracts
8,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,Anti-Assignment,No Party may assign this Agreement without the prior written consent of the other Party.,BM25_leakage_controlled,Anti-Assignment,40.378088281492126,No Party may assign any rights under this Agreement or delegate any duties hereunder without the prior written consent of the other Party.,ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,CUAD_train_contracts
8,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,Anti-Assignment,No Party may assign this Agreement without the prior written consent of the other Party.,SBERT_leakage_controlled,Anti-Assignment,0.9135340452194214,Neither party may assign this Agreement without the other party's prior written consent.,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,CUAD_train_contracts
9,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,Irrevocable Or Perpetual License,"Subject to the provisions of this Agreement including the provisions of Article 8, Changepoint hereby grants to Customer and Customer hereby accepts from Changepoint the perpetual, personal, non-transferable and non-exclusive Software Licenses to use the Licensed Software for Customer's internal business purposes.",BM25_leakage_controlled,License Grant,78.16459916804665,"Metavante hereby grants to Customer a personal, nonexclusive, and nontransferable license and right, for the duration of this Agreement, to use the Incidental Software solely in accordance with the applicable Documentation and for no other purposes.",OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,CUAD_train_contracts
9,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,Irrevocable Or Perpetual License,"Subject to the provisions of this Agreement including the provisions of Article 8, Changepoint hereby grants to Customer and Customer hereby accepts from Changepoint the perpetual, personal, non-transferable and non-exclusive Software Licenses to use the Licensed Software for Customer's internal business purposes.",SBERT_leakage_controlled,Non-Transferable License,0.6235857009887695,"Customer shall not sell, lease, copy, distribute, transfer, assign or sublicense the Licensed Software to any third party.",OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,CUAD_train_contracts
10,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Parties,"Bruyette & Woods, Inc.",BM25_leakage_controlled,Parties,41.950746051599324,"Keefe, Bruyette & Woods, Inc.","ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",CUAD_train_contracts
10,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Parties,"Bruyette & Woods, Inc.",SBERT_leakage_controlled,Parties,0.854567289352417,"Keefe, Bruyette & Woods, Inc.","ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",CUAD_train_contracts
11,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,Minimum Commitment,- -------------------------------------------------------------------------------------------------------------------- Requirement - -------------------------------------------------------------------------------------------------------------------- Characteristic Bellcore EIA/TIA-464A D2 - -------------------------------------------------------------------------------------------------------------------- Frequency Deviation +/-1.5% must accept; +/-1.5% must accept; Configurable choice of +/-3.5% must reject +/-3.5% must reject four sets of must accept/must reject: +/-2.0% accept to +/-3.0% reject; +/-2.5% accept to +/-3.5% reject; +/-3.0% accept to +/-4.0% reject; +/-3.5% accept to +/-4.5% ,BM25_leakage_controlled,Post-Termination Services,148.11619821027597,"event of termination in part) for any reason, MSL's authority to Preload MS Software Images and to place MS Software Image documentation in Product packages shall immediately cease.",MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT,CUAD_train_contracts
11,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,Minimum Commitment,- -------------------------------------------------------------------------------------------------------------------- Requirement - -------------------------------------------------------------------------------------------------------------------- Characteristic Bellcore EIA/TIA-464A D2 - -------------------------------------------------------------------------------------------------------------------- Frequency Deviation +/-1.5% must accept; +/-1.5% must accept; Configurable choice of +/-3.5% must reject +/-3.5% must reject four sets of must accept/must reject: +/-2.0% accept to +/-3.0% reject; +/-2.5% accept to +/-3.5% reject; +/-3.0% accept to +/-4.0% reject; +/-3.5% accept to +/-4.5% ,SBERT_leakage_controlled,Minimum Commitment,0.33486485481262207,ordering of such Miltenyi Products) regarding production planning of Bellicum Product.,"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",CUAD_train_contracts
12,"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT",Anti-Assignment,"Neither Party may assign or otherwise transfer any of its rights, or delegate or otherwise transfer any of its obligations or performance, under this Agreement, in each case whether voluntarily or involuntarily, without the other Party's prior written consent, which will not be unreasonably withheld, conditioned, or delayed.",BM25_leakage_controlled,Anti-Assignment,87.07406653726528,"Licensee shall not assign or otherwise transfer any of its rights, or delegate or otherwise transfer any of its obligations or performance, under this Agreement, in each case whether voluntarily, involuntarily, by operation of law or otherwise, without Licensor's prior written consent.",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,CUAD_train_contracts
12,"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT",Anti-Assignment,"Neither Party may assign or otherwise transfer any of its rights, or delegate or otherwise transfer any of its obligations or performance, under this Agreement, in each case whether voluntarily or involuntarily, without the other Party's prior written consent, which will not be unreasonably withheld, conditioned, or delayed.",SBERT_leakage_controlled,Anti-Assignment,0.8710932731628418,"Neither party may assign, or otherwise transfer, its rights or delegate its duties or obligations under this Agreement without prior written consent.",MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT,CUAD_train_contracts
13,IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,Ip Ownership Assignment,"In addition, XIMAGE will provide the following as additional Customer Support Services:",BM25_leakage_controlled,Renewal Term,24.38314238894315,"For a renewable one-year term commencing upon the Maintenance Commencement Date, subject to payment of maintenance fees in accordance with the Fee Schedule but without additional fees or charges, Garman shall provide the following Maintenance Services:",SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,CUAD_train_contracts
13,IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,Ip Ownership Assignment,"In addition, XIMAGE will provide the following as additional Customer Support Services:",SBERT_leakage_controlled,Post-Termination Services,0.4788516163825989,"The Parties shall reasonably cooperate and mutually agree to facilitate the provision of any additional reasonable Technical Support with respect to the applicable Product or Products to Customer, including assistance through the transfer process, Manufacturer Personnel visits to the Receiving Site and training and troubleshooting during the Receiving Site's first production run of the applicable Product or Products, in each case, as and to the extent reasonably agreed by Manufacturer in each instance (and subject to Sections 2.10(d), 2.10(e) and 2.10(f)).",UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,CUAD_train_contracts
14,ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,Price Restrictions,No later than 30 days after the end of each contract year the Base Fee must be increased or decreased in accordance with the increase or decrease in the CPI and such increases or decreases will be calculated by using the following formula:,BM25_leakage_controlled,Post-Termination Services,52.595423978230286,"Company may liquidate and sell its inventory of Licensed Products (including any inventory then in production) for a period of ninety (90) days after the termination date of the Contract Period, subject to the Company's continued obligation to pay the Fee as provided above, and will deliver the Sales Report with respect to such liquidation sales within 30 days following the end of the first reached full quarter following termination.",GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement,CUAD_train_contracts
14,ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,Price Restrictions,No later than 30 days after the end of each contract year the Base Fee must be increased or decreased in accordance with the increase or decrease in the CPI and such increases or decreases will be calculated by using the following formula:,SBERT_leakage_controlled,Minimum Commitment,0.608755350112915,Customer shall pay the Monthly Base Fee in advance on the first day of the calendar month in which the Services are to be performed.,OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,CUAD_train_contracts
15,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Parties,"Each of Vivint Solar and Vivint may also be referred to herein individually as a ""Party"", and collectively as the ""Parties"".",BM25_leakage_controlled,Parties,58.412765049092314,"Each of Customer and Kubient may be referred to herein individually as a ""Party"" and collectively as the ""Parties"".","KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1",CUAD_train_contracts
15,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Parties,"Each of Vivint Solar and Vivint may also be referred to herein individually as a ""Party"", and collectively as the ""Parties"".",SBERT_leakage_controlled,Parties,0.6458591818809509,"Each of the foregoing parties is referred to herein as a ""Party"" and together as the ""Parties"".",ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,CUAD_train_contracts
16,STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,Competitive Restriction Exception,"Notwithstanding the above, Intuit may include editorial content or tools about or from a Client Competitor and include Client Competitors in directory listings.",BM25_leakage_controlled,Competitive Restriction Exception,26.790752465530023,"Notwithstanding the foregoing, Excite may display Excite Search results links to NetGrocer's Competitors in Excite Search results pages in response to user queries, may display links to NetGrocer's Competitors in Excite's general directory of Web sites and, after giving NetGrocer reasonable advance notice, in search results displayed in ""Excite Shopping Service powered by Jango"".",NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT,CUAD_train_contracts
16,STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,Competitive Restriction Exception,"Notwithstanding the above, Intuit may include editorial content or tools about or from a Client Competitor and include Client Competitors in directory listings.",SBERT_leakage_controlled,License Grant,0.4871892035007477,"Upon activation of the Affiliate, the Software Publisher grants the Affiliate a non-exclusive, revocable right to use provided advertising material, notices and all further presentations (insofar as available - also known hereafter as ""Material"") only for the purpose of designating its Web site as a ""partner Web site"" and presenting the designated advertising Material.",SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,CUAD_train_contracts
17,QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,Volume Restriction,Restore System Images at no additional charge up to two (2) times per month per Managed Server per Customer.,BM25_leakage_controlled,Volume Restriction,40.4625758345941,"At Client's cost for materials (but excluding costs for labor or other EFS charges), EFS agrees to include up to two (2) inserts per month in each of the Catalogs and up to two (2) onserts per month in all outgoing Merchandise packaging, promoting Client products and services and/or those of Client's affiliates, Licensees or sponsors.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1,CUAD_train_contracts
17,QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,Volume Restriction,Restore System Images at no additional charge up to two (2) times per month per Managed Server per Customer.,SBERT_leakage_controlled,License Grant,0.4362693130970001,You further acknowledge and agree that we and our affiliates have the right to charge a reasonable systems fee for software or systems installation services; modifications and enhancements specifically made for us or our affiliates that are licensed to you; and other maintenance and support Computer System-related services that we or our affiliates furnish to you.,JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT,CUAD_train_contracts
18,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Revenue/Profit Sharing,"A Success Fee of 0.85% shall be paid based on the aggregate purchase price of the Shares sold in the Subscription Offering and the Community Offering excluding shares purchased by the Blue Hills Parties' officers, directors, trustees or employees (or members of their immediate family) plus any ESOP, tax-qualified or stock based compensation plans or similar plan created by the Blue Hills Parties for some or all of their directors or employees or by the foundation (or any shares contributed to the foundation).",BM25_leakage_controlled,Revenue/Profit Sharing,211.26897078619976,"(b) A success fee upon completion of the Offering of 1.125% of the aggregate purchase price of the Common Shares sold in the Subscription Offering and Community Offering excluding shares purchased by the Bank's officers, directors, or employees (or members of their immediate family), any ESOP, tax-qualified or stock-based compensation plans (except IRAs) or similar plan created by the Bank or the Company for some or all of its directors or employees, or contributed to any charitable foundation established by the Bank in connection with the Conversion.","ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",CUAD_train_contracts
18,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Revenue/Profit Sharing,"A Success Fee of 0.85% shall be paid based on the aggregate purchase price of the Shares sold in the Subscription Offering and the Community Offering excluding shares purchased by the Blue Hills Parties' officers, directors, trustees or employees (or members of their immediate family) plus any ESOP, tax-qualified or stock based compensation plans or similar plan created by the Blue Hills Parties for some or all of their directors or employees or by the foundation (or any shares contributed to the foundation).",SBERT_leakage_controlled,Revenue/Profit Sharing,0.6714818477630615,"(b) A success fee upon completion of the Offering of 1.125% of the aggregate purchase price of the Common Shares sold in the Subscription Offering and Community Offering excluding shares purchased by the Bank's officers, directors, or employees (or members of their immediate family), any ESOP, tax-qualified or stock-based compensation plans (except IRAs) or similar plan created by the Bank or the Company for some or all of its directors or employees, or contributed to any charitable foundation established by the Bank in connection with the Conversion.","ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",CUAD_train_contracts
19,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,Change Of Control,PB will notify SFJ in writing promptly (and in any event within [***]) following the entering into of a definitive agreement with respect to a Change of Control of PB.,BM25_leakage_controlled,Change Of Control,47.63412378941449,Licensee shall notify Bioeq in writing within [***] ([***]) days after entry by Licensee into a definitive agreement which would result in a Competitor Change of Control.,CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement,CUAD_train_contracts
19,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,Change Of Control,PB will notify SFJ in writing promptly (and in any event within [***]) following the entering into of a definitive agreement with respect to a Change of Control of PB.,SBERT_leakage_controlled,Change Of Control,0.5059454441070557,"Promptly after any public announcement regarding any proposed transaction that would result in a Change in Circumstances, Buyer shall notify Seller, in writing, of the nature of such transaction, the parties thereto and the proposed date of consummation.",WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement,CUAD_train_contracts
20,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,Ip Ownership Assignment,"Fox shall own all Intellectual Property Rights in and to any derivative works made from the Properties, whether or not used in the Wireless Products, including without limitation design documents, graphics, animation, music, packaging, advertising, promotional and other artwork used in connection with the development and distribution of the Wireless Products but at all times excluding the Licensee Materials as defined in Paragraph 11(c) below (collectively, the ""Fox Intellectual Property"").",BM25_leakage_controlled,Affiliate License-Licensor,86.28348143601876,"""Product IP"" means (a) all Intellectual Property Rights in and to the Products, including all Product Updates, (b) any other Inventions and work products created or developed in connection with research and development or manufacturing efforts relating to the Products, including all Intellectual Property Rights therein and (c) all Intellectual Property Rights in and to the Mask Sets and Tooling, in each of the foregoing cases, that are owned or controlled by ENERGOUS, its Affiliates or any successor or assign.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,CUAD_train_contracts
20,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,Ip Ownership Assignment,"Fox shall own all Intellectual Property Rights in and to any derivative works made from the Properties, whether or not used in the Wireless Products, including without limitation design documents, graphics, animation, music, packaging, advertising, promotional and other artwork used in connection with the development and distribution of the Wireless Products but at all times excluding the Licensee Materials as defined in Paragraph 11(c) below (collectively, the ""Fox Intellectual Property"").",SBERT_leakage_controlled,Parties,0.5537765026092529,"Fox Mobile Entertainment, Inc.",GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4,CUAD_train_contracts
21,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,License Grant,"We grant to you, upon the terms and conditions contained in this Agreement, the exclusive right to establish and operate a Franchised Business and a license to use the methods, procedures and products developed by us in the business of selling and servicing Unit Franchises in the territory described on Attachment A attached to this Agreement and incorporated into this Agreement by reference (the ""Master Territory"").",BM25_leakage_controlled,Exclusivity,99.29187186449927,"AIRSOPURE grants to You, and You accept from AIRSOPURE, the right and license to operate an AIRSOPURE Center (or the ""Franchise"") for the sale or lease of AIRSOPURE's exclusive line of Products or at a location in the Exclusive Territory to be approved in writing by AIRSOPURE and listed in attached Exhibit A (the ""Exclusive Territory and Center Location""), to purchase Products from AIRSOPURE or its affiliates for resale at the Center to customers in the Exclusive Territory, and to use the Licensed Marks only in connection with the operation of the Franchise in accordance with the terms and conditions of this Agreement.",AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT,CUAD_train_contracts
21,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,License Grant,"We grant to you, upon the terms and conditions contained in this Agreement, the exclusive right to establish and operate a Franchised Business and a license to use the methods, procedures and products developed by us in the business of selling and servicing Unit Franchises in the territory described on Attachment A attached to this Agreement and incorporated into this Agreement by reference (the ""Master Territory"").",SBERT_leakage_controlled,Exclusivity,0.7162160873413086,"Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory.",SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement,CUAD_train_contracts
22,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,Cap On Liability,OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER.,BM25_leakage_controlled,No-Solicit Of Employees,27.59277352509581,"In the event that a Party solicits and then hires an employee of the other Party in violation of this Section 14.4 (Non-Solicit), the hiring Party shall, [***], within [***] ([***]) days of such hire, pay the other Party an amount equal to the [***] cash compensation actually paid to the individual","BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",CUAD_train_contracts
