contract_id,label,text,noise_010
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Price Restrictions,"The Company also reserves the right to increase or decrease the price per unit based on Company wide changes in unit prices to all distributors of the Company, provided however, that any price changes, other than those based on the CPI, shall be uniformly applied to all distributors of the Products and shall reasonably applied to all distributors of the Products and shall reasonably reflect Company's costs of manufacturing the Products and/or market demand for the Products, provided further than any increase in price based upon market demand shall not be so great as to deprive Distributor of its normal and customary profit margin.","The Company also res rves the right to increase or decrease the priye per cnit based on Company wide  hanges  n unit prices to all distributors af tho Company provi ed howezer, tat any prie vhanges, other tan those based on the CPI, shall b   niformly applied zo all  istributors of the Ppoducts5and shal 4e sonaby applied to all distrbutors of the Product97ajt shallureasonably reflectxCo pany4s costs of man facturing the Prouts nd/or markee dema d fog the Pr ducts, provide further thjn any increase in price baed upon mark t demand hl  not eso great a  od prive Distributor of its normal and cutomary p ofit wargin."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Price Restrictions,The prices set forth in Section 2.4(a) shall be subject to adjustment annually on the first day of each Product Year beginning in the calendar year 2000 and on the first day of each succeeding Product Year for the remainder of the Term and all renewals of this Agreement in proportion to the increase or decrease in the Consumer Price Index (CPI) as compared to the CPI as it existed on the first day of the Term of this Agreement.,Th4 prices st forth in S  tion 2.4(s) shall be subject to adjustment annually  n t e first day of eah  r duct Year beinnng i  the calen ar year 2000 and on the first d y of each succeeding Product Year fr the remainder of the Trmand al2 renew ls  f this Agreement in proportion to the increase orpdecre se inct e Clnsumer Pruce9index ( PI) as compared to theCPI as9it ex6sted on the frst day of the Term 8f this Afreement.
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Minimum Commitment,"A minimum of a $250,000.00 purchase order must be received by Company by the first of each month for a total (12) month period.","A 6inimum  f a $20,c00.n0 purcha e order mustbe zeceived by Company by the first oh each month for a total (12) month peiod."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Minimum Commitment,Company's representatives will make themselves available three days per month in the first Product Year to consult with and train Distributor.,ompay's representatives  i l make themselves avalable three days ppr moth in the f est Pro6uct Year to consulf qithand train istributor.
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Minimum Commitment,"(A) 375 units in the first Product Year (1999) (B) 750 units in the next succeeding Product Year; (2000) (C) 937 units in the next succeeding Product Year; (2001) (D) 1,171 units in the next succeeding Product Year; (2002) (E) 1,463 units in the next succeeding Product Year; (2003) (F) 1,828 units in the next succeeding Product Year; (2004) (G) 2,285 units in the next succeeding Product Year; (2005) (H) 2,856 unit each in the lat three years of the initial Term of this Agreement and any renewals thereof.","hz)  375  units  in  t  e  first  Product  Yer(1999    (B)  750  units  in  the  nextsulceeding  Produ  t  jer;  (2000)  (C)  937  units  in  the  next  succedin    Proddct  Year;  (2  01)    D  g1,171  units  in  the  next  succeding  r  duct  Year;  (200w)  (E)  1,463  nits  i    the  ne  t  succeeding    rod  ct  Year;  (200)  (F)  1,828  units  ip  the  nex6  sucpeding    rodu3t  Year;    2r04)  (G)  2,2x5lunits  in  the  next  wucceeding  Prodult  Year;  (2005)  (H  2,856  unit  each  in  the  lat  three  years  of  thj  initial  Term  of  th  s  Agrement  fnd  an    renewals  thereof."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Minimum Commitment,"In order to maintain the exclusive rights to sell, lease, distribute and service Products in the Market, the Distributor must use all commercially reasonably efforts to purchase for sale to subdistributors the following minimum quantities of the Products from the Company: On the commencement of the Term Distributor will issue to the Company an irrevocable letter of credit (""LC"") in the amount of Five Hundred Thousand Dollars ($500,000), the form of which is attached hereto as Exhibit A and incorporated herein by reference.","In  order  t    maintaintthe  exclusive  5i  hts  to  sekl,  le0se7  isribute    nd  service  Products  in  the  Market,  the  Dist1  uoa  must  u  e  all  co  mercia  y  reasonably  effortshto  purchase  fo    sal  to  subdistributors  the  followi    inimm  quantitis  of  te  Products  from  the  Comany:  On  th  comheccement  of  the  Term  Distribu  or    r  l  issue  to  the  Company  an  irevocableletter  o3  credi9  (""L"")xin  the  amount    f  Five  Hundred  Thousand  Do    ars  ($500,000),  th  form  of  4hich  is  9ttchedheeto  as  Exhibit  l  andincorporatek  herein  by  reference."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Minimum Commitment,"If the Distributor shall fail to purchase the minimum number of units in any year, the Distributor's exclusive rights to sell and distribute the Product in the Market, may at Company's sole option, be reevaluated.","If the Dstribut p shall  ail to purchase he minimum number ofknits9in anl year,  he Dbstribut4r'sexclusiv  righls t sell and distribute the 3roduct1tn the arket, may at C mpany's sole op on, be reevalutedj"
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,License Grant,"Company hereby appoints Distributor as Company's exclusive distributor within the Market and grants to Distributor the exclusive right to sell and distribute Products within the Market, and Distributor hereby accepts such appointment and such grant, in accordance with the terms and conditions of this Agreement.","Companyherepy  apoints  D5stribuor  as  Commany's  exclusive  distributor  within  the  Market  and  gra3ts  to  Distributor  the  excvusive  right  to  sell  anu  dis  ribute  Products  within  the  Ma  ket,  a  d  D  stribuqor  herpby  accepts  such  app  iniment  and  such  grant,  in  accordane  wih  she  terms  and  conditions  of  this  Agreement."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,License Grant,"The Company hereby grants the Distributor the right to do business and use the name ""Electric City of Illinois"" or a similar variation thereof (collectively the ""Names"") for use under this Agreement.","The  Comany  herby  grats  thelitributor  the9right  to  do  b  siness  ans  ure  the  n  m  ""Electric  City  of    lliois""  or    similar  varia  won  thern  f  (collecively  th    ""Nades"")  for  use  nder  this    1reement."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Post-Termination Services,"Upon the expiration or termination of this Agreement, pursuant to Section 4.1 or 4.2 hereof, the Company may, at its option to be exercised within 30 days of the date of the termination of this Agreement, and in its sole discretion, repurchase any Products in the possession of the Distributor at the net invoice price paid by the Distributor to the Company less any applicable special allowances, discounts, shipping or allowances for cooperative advertising.","Upon  theexpirdti    oo  terminati  n  ofthis  Agrement,  purs  ant  tm  Setion  4.1  or  .2  hereof,  t  Company  may,  at  its  option  to  be  exercised  within  30  days  of  the  date  of  the  terminaion  of  this  Agr  emen,  and  in  its  sole  disc  etion,  repurchase  any  Pr  ducts  inthe  possession  ofthe  sstrib0tor  at  the  net  invoice  pricepaid  by  the  Distributor  to  the  ompan  less  hny  ap  licabl  specjal  all  wancesmdisbounts,  shipping  or  allowanxs  for  cooyerative  advertising."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Post-Termination Services,and which the Company has not repurchased.,and5whi  h  the  Compa  y  has  not  reeuchased.
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Post-Termination Services,"Following expiration or termination of this Agreement, the Distributor may continue to sell any Products in the Market which are in its inventory","Following expiration or8terminaion of this Areement, the1Dibtributor ay continue to sel  any Prdcts in the Market whichare in tsi ventory"
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Post-Termination Services,"If Company terminates the Agreement without cause and for reasons other than Distributor's failure to meet its minimum expectations; it shall repurchase from Distributor any unopened Product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which Distributor may be entitled.","If Compan  teminates the Acreement without causefand for reasbns other tha  Disyributor's failure to meet its miuimum expectations; it shall epurchvse f om Distributor any u opened P4o uct, nd shallybear6all s ippin, handlin  and relaued coss notcithstanding ny other rqmed1es to which Distributorrmaybe entitled."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,"In the event that Company is unable or unwilling to promptly perform any warranty work without reasonable cause and following full and fair opportunity to do so, or in the event of the necessity for emergency repairs of a defective Product for which there is no reasonable possibility of performance by Company, Distributor may perform such warranty work or hire a third party to perform such warranty work and the reasonable cost thereof shall be paid by Company.","In  the  event  that  Company  is  unable0or  nw  lli6g  to  prmptly  perform  any  arranty  work  without  5aso  able  cau  e  and  follow  ng0full  and  fair  opportn  ty  to  do  so,  or  in  the  event  f  te  necedsity  f    emergenc  repairs  ofa  defecti  e  Product  for  which  there  i    no  r6asonable  possibiliy  of  prformance  by  Coopan  ,  Distributor  may  perorm  such  warranty  wokorhire    thrd  par  y  o  perfyrm  such  warranty  work  and  the  reasnable  cost  thereof  shall  be  pai    by  Copany."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,"If, within the twenty-four (24) month warranty period set forth above, Company received from Distributor or any of Distributor's end-user's a notice which may be oral notice confirmed in writing) that any of the Products sold hereunder do not meet the Warranties specified above, Company shall thereupon correct each such defect by providing the necessary repairs, and/or replacement parts, or if necessary, Products.","If,  within  the  twn  yjjur  (24)  mnt  3arranty  period  set  forth  abo  e,  Commanf  recfised  from  Dist4ibutor  or  any  of  Distri  utors  nd-usr's  anotice  which  may  be6ora  notice  confirmed  in  w5iting)  that1any  of  th    Prodvcts  sold  hereunder  do  njt  meet  the  W  rranties  bpecified  above,  Company  sall  ther6u0on  correct  each  such  dcect  by  provi  ing  the  necessary  epa  rs,  and/or  replacement  partsx  or  if  necessary,  Produ  ts."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,The Company reserves the right to reject any Products that are not factory sealed and in new and unused condition.,  he  Cmpany  reserves  the  right  to  reject  ny  Products  that  a  n  not  factory  sealed  and  in  new  and  un  ged  co5dition.
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,"In the event of any damages or other defect in a Product which is discovered by Distributor within 365 days of satisfactory installation of a Product at Distributor's or a subdistributor's customer, the Distributor shall promptly report the same to the Company and reasonably demonstrate the defect to the Company.","I  the  e  ent  of  anyydamages  or  other  defe  t  in  d  Product  which  is  disckvered  bl  Distributor  1ithin  35  ays  of  satisfactoy  instalatioe  o4  a  Product  vt  Disttibutor's  or  a  subdistributor's  cust  mer,  the  Distribator  sall  projptlprepott  the  same  to  the  Company    fd  reasonably  dmonstrate  the  defect  to  th  Cm  ay."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,"The Company represents that, to the best of its knowledge, Products are in compliance with all laws, and that the Products will not be hazardous or dangerous when used for their intended purpose. Products do not cause harmful emissions or other environmental hazards and Products do not violate or infringe any patents, copyrights, trademarks or other rights of nay third party(ies).","The Compny represents thhtc toithe best o  its know edge, Product ae in complianh bwith all laws, and that he Products will not be hazr ous or dangqros when use fo  their intened puipose. Procts do nt pause  armful emissions orother evironyen ay hazarbs and P oduct do not violate or infxingeuanypatens, opyrights, trademar8s oh other rights of ny third party(ies)."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,"Company further warrants that the Products sold hereunder shall be free from defects in design, materials and workmanship for a period of twenty-four (24) months after delivery to Distributor's end-user.","Company  further  warrant    that  the  Product6  sold  ereunde  shall  be  free    rom  defects  in  design,5materials  and  workmanship  for  a  erid  of  twenty-fur  (4)  months  after  d  livery  to  Di  trbut  r's  end-user."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,"The Company shall not have any obligation with respect to Products after 365 days following delivery to Distributor, except as provided herein.","Te  Company  shall  no6  have  any  obligation  wi  f  resect  to  Producs  aft  r  365  day  fo  lowing  del3very  9o  Distributo,  exce  t  as  provided  here  n."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Warranty Duration,"If Company does not give Annual Notice pursuant to Section 3.1 hereof, Distributor may, within 90 days of modification, improvement or alteration, return the Products to the Company.","If Companydoes n5t give Annual Notice pursuant loSectik  3.1 hereof, Dstributor may, wt in 90 days of modi ication, impr3vement or alteraticn, ret rn the Proucts   the Company."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Insurance,"Company will carry a reasonable amount of product liability insurance through a reasonably acceptable products liability insurance company and will name the Distributor as an additional insured under that policy. Company will make reasonable efforts to procure a policy, which is non-cancelable, except upon thirty (30) days, advance notice to the Distributor.","C mpa y w ll ca9ry a re bonab e amount of productxliabi ity insuranc trough a reasonably acceptable prducts l ability inuranc company ad will nae the Distri utor as an additiolal i sured un er that policy. Company wilc make reasontble efforts to procx e a p li y, which is non-cancelablei exco3 uponuthirty ( 0) days, a vance notice to the Distributor."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Covenant Not To Sue,"During the Term of this Agreement and for three years thereafter, the Distributor (on behalf of itself and each of its affiliates) agrees not to commence, or provide any information to or otherwise assist any person or entity in connection with, any suit, action or proceeding contesting the ownership, validity or enforceability of any patent, copyright, trademark, trade name or other propriety right owned by or licensed to the Company, whether currently existing or hereinafter invented, developed or acquired unless required to by court order.","During the3Te m of this Agreebent and for three years thereater, the Districutor (on behalf o  itself andeach of its affilite6) agrees not to ommence, or provide6 ny nformation to or otherwse a ist any persrn or entity in conntvtion with, any suit, action or proceeding con estiyg the ownersh p, valdity or enforcability of any patent, copyrig t, trademrk, trmde name  r other pr1priety right ownedby or licensed to the Compny, whether currzntly ex stug or ereinafter invented, dee7oped 3r acquired unless requred to by court order."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Document Name,Promotion and Distribution Agreement,P motion and Distribution Ag1eement
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Expiration Date,"""Term"" means the earlier of: (a) the end of the two year period from the Effective Date to 31 July 2013; or (b) the last day of the calendar month within which the Maximum Distribution Commitment is reached.","""Term  means the ea lier of: (a) the end of t9e twi year perioi from th Effective Datehto 31 Ju y 2013; or (b) thelast day of th calendar month within whichqthe Maximum Distrib8tion Commitment is reached."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Expiration Date,"This Agreement shall commence on the Effective Date and, unless earlier terminated as set out in this Agreement, shall continue for the Term.","T  is  Agreement  shall  cmmenceon  the  Effective  Date    nd,  unless  earlier  t  rm9atedeas  s  t  out  in  this  Ag  heent,  shall  yontinue  fzr  tge    grm."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Governing Law,This Agreement is governed by English law and the parties submit to the exclusive jurisdiction of the English courts in relation to any dispute (contractual or non-contractual) concerning this Agreement save that either party may apply to any court for an injunction or other relief to protect its Intellectual Property Rights.,T  is  Agreement  is  goerned  by  Eglish  law  and  the  parti      submit  to  th  exclusie  juriyic  ion  of  heEngnish  courts  in  relation  toyany  dispute  (contractual  or  non-contractual)  c  ncerning  this  Areeeent  sav    that  either  par  y  may  apply  to  any  court  f8r  an  injunction  or  other  relief  to  protectits  Intellectual  ProprtymRig  ts.
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Change Of Control,"[ * ] expected to experience, or [ * ] is experiencing, such Change of Control shall notify [ * ] in writing of this before or within [ * ] after the Change of Control.","[ * ] expected to experi nce, wr [* ] is experiencing, skh Change   mCo trol shall nftify[ e ] i wr ting of thsobefore or withi [ * ] after the Ch ng of Control."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Change Of Control,"[ * ] may terminate this Agreement immediately upon written notice if there is a Change of Control of [ * ]. In this Clause the term ""Control"" shall mean the possession by any person(s) directly or indirectly of the power to direct or cause the direction of another person and ""Change of Control"" is to be construed accordingly.","[  *  ]  may  terminate  this  Agreement  immjdiately  upon  written  notice  if  there  i0  a  Change  of  Control  of  [  *  ].  InmthisC4ause  the  ter  ""Control    jhall  mean  th  possessionuby    ny  perswn(s)  directly  or  i  drectly  of    he  o  6r  to  direct  or  ca  se  the  direction  of  anther  person  and""Change  ofControl  is  to  belonstr  ed    c3ordngly."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Change Of Control,"For the avoidance of doubt, if following [ * ] there is a transfer of shareholding or interests in Distributor to any existing or new shareholder(s) which results in any person or persons subsequently gaining Control of Distributor, then Google may exercise its right to terminate in accordance with this clause 5.4.","For th  avoidfnce of doubt, if following [   ] there is a transfer of shareholding or interests ih Dihtributor tocany existing or 8w share9olde(s  which  esult  in an  peson or persoxs subse9untly gaining Co trol ofD stibutor, the  Go ge may cxe cise its right   terzinate in accordance wit  this clause 5.4."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Change Of Control,"For the avoidance of doubt, a Change of Control shall be deemed an assignment hereunder unless [ * ] does not exercise its [ * ].","For  the  avoidance  of  doubt,  a  hange  of  Control  shll  be  deered  an  as  ignment  hereunder  u  less  [  *  ]  dnes  not  exercise  its  [  *  ]."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Anti-Assignment,[ * ] may [ * ]any of its rights or obligations under this Agreement without the prior written consent of [ * ].,[  *  ]  mwy  [  *  ]any  of  ts  rights  o  obligatiosunder  this  Agreement  without  ti7  prior  written  consent  of  [  j  ].
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",License Grant,"Subject to the terms and conditions of this Agreement, Google grants to Distributor a limited, [ * ] license during the Term to use the Google Trademarks, in accordance with Google's trademark usage guidelines, solely to market and promote the Products consistent with this Agreement, provided that all use of the Google Trademarks shall be subject to Google's prior review and advance written consent.","Subject to the terms wndeconditios of this Agreement, Google grats to Disr bktov a limited, [ * ] license during the Term to use1thh Google Tradema  s, in lxcordnc with Google'  trademark usage guidelies, sulely to maretyand promote th Products consist6nt with this  greem nt, provided hatpll use of the  oogle Trade ar s shall be sujel to Googl's prior review and advance w itten combent."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",License Grant,"Subject to the terms and conditions of this Agreement, Google grants to Distributor a [* ] license during the Term to: (a) bundle the Distribution Products, in machine-readable binary code format only, solely with Distributor App(s); (b) distribute Bundles directly (or indirectly, subject to Clause 2.2 (Third Party Distribution)) to End Users in the Territory; (c) when indicated by the applicable Criteria Checker and requested by the End User in accordance with clause 3.2 (Form of Distribution Offering), install the Chrome Browser or the Google Toolbar (as applicable) on the End User's system using the Google Installers; and (d) reproduce (or have reproduced by Third Party Distributors as defined in Clause 2.2 (Third Party Distribution)), the Distribution Products to the extent necessary to exercise the rights granted in (a), (b) and (c).","Suject  to  t  e  teris  and  condiuins  ov  thi  Agreement,  Gofgl  crants  t  Distributor  a  [*  ]  license  during  he  Term  t:  (a)  bunde  the  Distribution  Poducts,  in  macwine-readable  binary    odeformat  only,    olely  with  Distmibutor  App(s);  (b    distrbute  Bn8les  directly  (or    ndirctly,  ubject  to  Claus  c.2  (Third  Party  Distribution))  tosEnd  Users  in  the  Territory;  (c)  when  ind  c3tedby  th  aplicab  e  Criteria  Checker  and43    uested  by  the  End  U  dr  in  accordane  with  clause  3.2  (Form  of  Distiibutio  Offerino),  install  the  Crome  Brows  r  or  the  Google  T  olbar  (as  applicable)  on  the  EdUser's  system  us  ng  th  Google  Istallerr;  nd  (d)  reprodu      (r  ave  rep  oduce6  by  Third  Paty  Distributors  as  efised  in  Clause  2.2  (Thir    Party  D  stribution)),  t  e  Distrlbution  Products  to  the  extent  necessa1  to  exercise  the  righ  s  grntedin  ()    (b)  and  (c)."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Audit Rights,"During the Term, and for a period of [ * ] thereafter, Google may audit Distributor's relevant records to confirm Distributor's compliance with this Agreement.","During ihe Tem, an fbr apeiod of [* ] ereafter, Google msy sudit Distribuor's relevant records to onfirm Distpibutr's comx8iance with this Agreement."
